Date_Time,Active_Power
2025-01-20 09:07:43,57.387001037597656,41.599998474121094
2025-01-20 09:08:43,56.81100082397461,41.319000244140625
2025-01-20 09:09:44,56.55500030517578,40.9739990234375
2025-01-20 09:10:43,56.48400115966797,40.92399978637695
2025-01-20 09:11:42,56.61000061035156,40.92100143432617
2025-01-20 09:12:44,56.577999114990234,40.89500045776367
2025-01-20 09:13:42,56.67300033569336,40.9119987487793
2025-01-20 09:14:42,57.08300018310547,41.152000427246094
2025-01-20 09:15:43,57.98400115966797,41.79100036621094
2025-01-20 09:16:43,58.354000091552734,42.08300018310547
2025-01-20 09:17:42,58.736000061035156,42.255001068115234
2025-01-20 09:18:43,59.154998779296875,42.62099838256836
2025-01-20 09:19:43,59.86600112915039,43.14099884033203
2025-01-20 09:20:42,60.444000244140625,43.57699966430664
2025-01-20 09:21:42,61.11399841308594,43.97700119018555
2025-01-20 09:22:43,61.805999755859375,44.555999755859375
2025-01-20 09:23:43,62.68899917602539,45.11399841308594
2025-01-20 09:24:42,63.36000061035156,45.53900146484375
2025-01-20 09:25:42,64.02799987792969,45.98500061035156
2025-01-20 09:26:43,64.39800262451172,46.26599884033203
2025-01-20 09:27:43,65.03199768066406,46.64899826049805
2025-01-20 09:28:42,65.61499786376953,46.902000427246094
2025-01-20 09:29:43,65.99500274658203,47.37699890136719
2025-01-20 09:30:43,66.6259994506836,47.78200149536133
2025-01-20 09:31:43,67.34300231933594,48.21099853515625
2025-01-20 09:32:43,68.08300018310547,48.93199920654297
2025-01-20 09:33:43,69.1240005493164,49.766998291015625
2025-01-20 09:34:43,69.64600372314453,50.01599884033203
2025-01-20 09:35:43,70.33100128173828,50.51100158691406
2025-01-20 09:36:43,71.25599670410156,51.33100128173828
2025-01-20 09:37:43,72.19100189208984,51.89699935913086
2025-01-20 09:38:43,72.97799682617188,52.57500076293945
2025-01-20 09:39:43,73.70899963378906,53.069000244140625
2025-01-20 09:40:42,74.44200134277344,53.58399963378906
2025-01-20 09:41:43,75.072998046875,53.98400115966797
2025-01-20 09:42:43,75.8550033569336,54.518001556396484
2025-01-20 09:43:43,76.69400024414062,55.13600158691406
2025-01-20 09:44:43,77.51399993896484,55.68600082397461
2025-01-20 09:45:43,78.6729965209961,56.61600112915039
2025-01-20 09:46:42,80.0459976196289,57.6349983215332
2025-01-20 09:47:43,81.51100158691406,58.63399887084961
2025-01-20 09:48:42,82.70999908447266,59.499000549316406
2025-01-20 09:49:42,83.33200073242188,60.1510009765625
2025-01-20 09:50:44,84.20800018310547,60.91999816894531
2025-01-20 09:51:42,85.43800354003906,61.7760009765625
2025-01-20 09:52:43,86.39900207519531,62.571998596191406
2025-01-20 09:53:43,87.33899688720703,63.2760009765625
2025-01-20 09:54:42,88.19300079345703,63.60499954223633
2025-01-20 09:55:43,89.38800048828125,64.40699768066406
2025-01-20 09:56:42,90.67900085449219,65.40899658203125
2025-01-20 09:57:44,91.31099700927734,66.14299774169922
2025-01-20 09:58:43,91.76200103759766,66.33699798583984
2025-01-20 09:59:42,91.2770004272461,65.75599670410156
